koi_period,koi_duration,koi_depth,koi_prad,fpp_prob,fpp_prob_heb,fpp_prob_ueb,fpp_prob_beb,koi_disposition
16.01308419,3.2554,1121.9,3.1,7.4e-05,1.2e-08,4.3e-07,2.7e-05,CONFIRMED
32.62876672,4.7971,1804.8,3.36,2.9e-06,7.9e-12,7.1e-09,2.9e-06,CONFIRMED
32.62876672,4.7971,1804.8,3.36,0.03,5e-07,3.6e-06,0.01,CONFIRMED
91.7732862,6.473,652.0,2.12,2.9e-06,7.9e-12,7.1e-09,2.9e-06,CONFIRMED
91.7732862,6.473,652.0,2.12,0.03,5e-07,3.6e-06,0.01,CONFIRMED
4.959319244,2.22739,9802.0,12.21,0.071,0.012,0.056,2.9e-07,CONFIRMED
2.701287801,3.3827,860.4,6.54,1.0,3.5e-15,1.1e-10,0.0067,FALSE POSITIVE
4.49876511,3.7362,460.0,2.1,4.9e-07,4.2e-20,4e-17,4.9e-11,CONFIRMED
19.651209505,5.2514,11766.0,12.42,0.0064,0.0032,0.0029,0.00023,FALSE POSITIVE
5.412203927,2.9472,601.6,2.94,7.1e-06,3.5e-06,3.6e-06,5.4e-09,CONFIRMED
5.412203927,2.9472,601.6,2.94,5.1e-05,6.7e-06,2.5e-05,1.4e-05,CONFIRMED
5.412203927,2.9472,601.6,2.94,0.04,7.3e-09,2.6e-08,0.0019,CONFIRMED
41.43958662,10.5989,2793.1,5.5,4e-05,9.3e-07,1e-21,2.4e-05,CONFIRMED
8.35389523,2.2514,1041.6,2.52,0.0003,1.9e-05,0.00028,1.8e-06,CONFIRMED
4.125543472,3.1744,1487.3,4.43,8.3e-05,1.1e-06,8.2e-05,5.499999999999999e-14,CONFIRMED
2.816504904,2.50587,16814.0,12.21,0.00098,0.00098,3.0999999999999994e-14,4.1e-11,CONFIRMED
33.93373447,14.561,8503.7,7.34,0.56,0.00052,1.8e-75,4.6e-08,FALSE POSITIVE
3.689920099,2.6557,426.7,1.89,1e-05,9.4e-12,7.6e-07,7e-06,CONFIRMED
4.431238488,3.15,1010.9,3.25,1.2e-09,1.7e-10,3.3e-18,2e-10,CONFIRMED
4.431238488,3.15,1010.9,3.25,0.081,0.005,0.075,0.00047,CONFIRMED
4.431238488,3.15,1010.9,3.25,8.5e-05,2.7e-14,5.8e-12,2.1e-06,CONFIRMED
11.37936986,2.6255,1023.5,3.95,1.2e-09,1.7e-10,3.3e-18,2e-10,CONFIRMED
11.37936986,2.6255,1023.5,3.95,0.081,0.005,0.075,0.00047,CONFIRMED
11.37936986,2.6255,1023.5,3.95,8.5e-05,2.7e-14,5.8e-12,2.1e-06,CONFIRMED
26.39432897,3.573,1510.9,3.07,0.00017,7.5e-10,0.00016,1.1e-05,CONFIRMED
13.57078281,3.3539,511.7,2.64,0.0035,0.00019,0.0032,4e-05,CONFIRMED
13.57078281,3.3539,511.7,2.64,0.00035,5e-05,5.2e-05,0.00024,CONFIRMED
13.57078281,3.3539,511.7,2.64,0.21,9.3e-15,7.4e-15,0.041,CONFIRMED
13.57078281,3.3539,511.7,2.64,0.0015,2.7e-09,9.9e-10,0.00044,CONFIRMED
7.12594387,3.0014,192.4,1.79,7.1e-06,3.5e-06,3.6e-06,5.4e-09,CONFIRMED
7.12594387,3.0014,192.4,1.79,5.1e-05,6.7e-06,2.5e-05,1.4e-05,CONFIRMED
7.12594387,3.0014,192.4,1.79,0.04,7.3e-09,2.6e-08,0.0019,CONFIRMED
7.442652004,2.3078,24446.0,15.03,0.0015,0.0015,6.9e-06,2.6e-06,FALSE POSITIVE
16.38489988,3.0249,1127.1,2.0,2e-05,4.1e-14,5.7e-14,2e-05,CONFIRMED
16.38489988,3.0249,1127.1,2.0,4.2e-06,5.5e-13,9.000000000000001e-18,4.1e-06,CONFIRMED
16.38489988,3.0249,1127.1,2.0,0.0008,1.7e-16,2.2e-13,1.2e-05,CONFIRMED
7.8774163,2.0805,1306.1,2.16,2e-05,4.1e-14,5.7e-14,2e-05,CONFIRMED
